group,driver_template,codes
Gold,gold,A411060 A144600 A132030
Commodity/Oil,oil,A261220 A271060
FX cash,usd_cash,A261240 A292560
US broad equity,us_equity,A360750 A379800 A360200 A379780 A449180 A448290 A219480 A143850 A488500 A245340 A280930
US growth,us_growth,A133690 A379810 A367380 A448300 A304940 A381170 A287180 A494410 A463680 A487230 A456600 A465580 A457480
US semiconductor,semiconductor,A381180 A446770 A390390 A497570
Global/Developed equity,us_equity,A251350 A195930 A195970 A379790 A411860 A189400
China/HK growth,china_growth,A371160 A372330 A414780 A371460 A099140 A245360 A250730 A310080
China equity,china_equity,A283580 A192090 A168580
India/EM,em_equity,A453810 A453870 A245710 A200250 A195980 A256440 A291130 A105010 A261920
Japan equity,japan_equity,A241180 A238720 A101280 A195920 A499150
US dividend/defensive,us_equity,A458730 A446720 A402970 A452360 A429000 A493420 A460660 A245350 A453640 A453630 A463640
US cyclical/sector,us_cyclical,A453650 A200030 A218420 A453660 A463690 A185680
US REIT,us_reit,A182480 A352560
Korea broad equity,korea_broad,A069500 A102110 A278530 A310970 A148020 A278540 A294400 A152100 A226490 A361580 A277630 A295040 A302450 A328370 A156080
Korea growth,korea_growth,A229200 A232080 A305720 A305540 A462010 A325010 A147970
Korea semiconductor,semiconductor,A091160 A395160 A395270 A455850
Korea IT,korea_it,A102780 A315930 A139260 A363580 A445290 A487240
Korea cyclical,korea_cyclical,A466920 A449450 A494670 A463250 A434730 A091180 A139230 A139220 A139250 A227550 A139290 A139240 A315270
Korea value,korea_value,A161510 A466940 A091170 A139270 A227570
Korea defensive,korea_defensive,A227540 A174350 A227560
Cash/short bonds,cash,A459580 A488770 A423160 A455890 A469830 A153130 A196230 A329750 A278620 A157450 A272560 A456610 A455960 A489000
US high yield,high_yield,A455660 A468380 A182490
US IG bonds,ig_bonds,A332620 A332610 A458260 A468630
US long bonds,long_bonds,A453850 A484790 A476760 A305080 A308620 A267440 A458250 A472870 A476750 A468370
Korea bonds,korea_bonds,A430500 A385540 A438330 A336160 A114260 A148070 A439870 A302190 A114100 A298340 A426150 A152380 A397420 A273130 A451540 A363570 A451530
