group,driver_template,code,name
Gold,gold,A411060,ACE KRX금현물
Gold,gold,A144600,KODEX 은선물(H)
Gold,gold,A132030,KODEX 골드선물(H)
Commodity/Oil,oil,A261220,KODEX WTI원유선물(H)
Commodity/Oil,oil,A271060,KODEX 3대농산물선물(H)
FX cash,usd_cash,A261240,KODEX 미국달러선물
FX cash,usd_cash,A292560,TIGER 일본엔선물
US broad equity,us_equity,A360750,TIGER 미국S&P500
US broad equity,us_equity,A379800,KODEX 미국S&P500
US broad equity,us_equity,A360200,ACE 미국S&P500
US broad equity,us_equity,A379780,RISE 미국S&P500
US broad equity,us_equity,A449180,KODEX 미국S&P500(H)
US broad equity,us_equity,A448290,TIGER 미국S&P500TR(H)
US broad equity,us_equity,A219480,KODEX 미국S&P500선물(H)
US broad equity,us_equity,A143850,TIGER 미국S&P500선물(H)
US broad equity,us_equity,A488500,TIGER 미국S&P500동일가중
US broad equity,us_equity,A245340,TIGER 미국다우존스30
US broad equity,us_equity,A280930,KODEX 미국러셀2000(H)
US growth,us_growth,A133690,TIGER 미국나스닥100
US growth,us_growth,A379810,KODEX 미국나스닥100
US growth,us_growth,A367380,ACE 미국나스닥100
US growth,us_growth,A448300,TIGER 미국나스닥100TR(H)
US growth,us_growth,A304940,KODEX 미국나스닥100선물(H)
US growth,us_growth,A381170,TIGER 미국테크TOP10 INDXX
US growth,us_growth,A287180,PLUS 미국나스닥테크
US growth,us_growth,A494410,PLUS 미국S&P500성장주
US growth,us_growth,A463680,KODEX 미국S&P500테크놀로지
US growth,us_growth,A487230,KODEX 미국AI전력핵심인프라
US growth,us_growth,A456600,TIME 글로벌AI인공지능액티브
US growth,us_growth,A465580,ACE 미국빅테크TOP7 Plus
US growth,us_growth,A457480,ACE 테슬라밸류체인액티브
US semiconductor,semiconductor,A381180,TIGER 미국필라델피아반도체나스닥
US semiconductor,semiconductor,A446770,ACE 글로벌반도체TOP4 Plus
US semiconductor,semiconductor,A390390,KODEX 미국반도체
US semiconductor,semiconductor,A497570,TIGER 미국필라델피아AI반도체나스닥
Global/Developed equity,us_equity,A251350,KODEX 선진국MSCI World
Global/Developed equity,us_equity,A195930,TIGER 유로스탁스50(합성 H)
Global/Developed equity,us_equity,A195970,PLUS 선진국MSCI(합성 H)
Global/Developed equity,us_equity,A379790,RISE 유로스탁스50(H)
Global/Developed equity,us_equity,A411860,KIWOOM 독일DAX
Global/Developed equity,us_equity,A189400,PLUS 글로벌MSCI(합성 H)
China/HK growth,china_growth,A371160,TIGER 차이나항셍테크
China/HK growth,china_growth,A372330,KODEX 차이나항셍테크
China/HK growth,china_growth,A414780,TIGER 차이나과창판STAR50(합성)
China/HK growth,china_growth,A371460,TIGER 차이나전기차SOLACTIVE
China/HK growth,china_growth,A099140,KODEX 차이나H
China/HK growth,china_growth,A245360,TIGER 차이나HSCEI
China/HK growth,china_growth,A250730,RISE 차이나HSCEI(H)
China/HK growth,china_growth,A310080,RISE 중국MSCI China(H)
China equity,china_equity,A283580,KODEX 차이나CSI300
China equity,china_equity,A192090,TIGER 차이나CSI300
China equity,china_equity,A168580,ACE 중국본토CSI300
India/EM,em_equity,A453810,KODEX 인도Nifty50
India/EM,em_equity,A453870,TIGER 인도니프티50
India/EM,em_equity,A245710,ACE 베트남VN30(합성)
India/EM,em_equity,A200250,KIWOOM 인도Nifty50(합성)
India/EM,em_equity,A195980,PLUS 신흥국MSCI(합성 H)
India/EM,em_equity,A256440,ACE 인도네시아MSCI(합성)
India/EM,em_equity,A291130,ACE 멕시코MSCI(합성)
India/EM,em_equity,A105010,TIGER 라틴35
India/EM,em_equity,A261920,ACE 필리핀MSCI(합성)
Japan equity,japan_equity,A241180,TIGER 일본니케이225
Japan equity,japan_equity,A238720,ACE 일본Nikkei225(H)
Japan equity,japan_equity,A101280,KODEX 일본TOPIX100
Japan equity,japan_equity,A195920,TIGER 일본TOPIX(합성 H)
Japan equity,japan_equity,A499150,SOL 미국S&P500엔화노출(H)
US dividend/defensive,us_equity,A458730,TIGER 미국배당다우존스
US dividend/defensive,us_equity,A446720,SOL 미국배당다우존스
US dividend/defensive,us_equity,A402970,ACE 미국배당다우존스
US dividend/defensive,us_equity,A452360,SOL 미국배당다우존스(H)
US dividend/defensive,us_equity,A429000,TIGER 미국S&P500배당귀족
US dividend/defensive,us_equity,A493420,SOL 미국배당다우존스TR
US dividend/defensive,us_equity,A460660,RISE 미국S&P배당킹
US dividend/defensive,us_equity,A245350,TIGER 유로스탁스배당30
US dividend/defensive,us_equity,A453640,KODEX 미국S&P500헬스케어
US dividend/defensive,us_equity,A453630,KODEX 미국S&P500필수소비재
US dividend/defensive,us_equity,A463640,KODEX 미국S&P500유틸리티
US cyclical/sector,us_cyclical,A453650,KODEX 미국S&P500금융
US cyclical/sector,us_cyclical,A200030,KODEX 미국S&P500산업재(합성)
US cyclical/sector,us_cyclical,A218420,KODEX 미국S&P500에너지(합성)
US cyclical/sector,us_cyclical,A453660,KODEX 미국S&P500경기소비재
US cyclical/sector,us_cyclical,A463690,KODEX 미국S&P500커뮤니케이션
US cyclical/sector,us_cyclical,A185680,KODEX 미국S&P바이오(합성)
US REIT,us_reit,A182480,TIGER 미국MSCI리츠(합성 H)
US REIT,us_reit,A352560,KODEX 미국부동산리츠(H)
Korea broad equity,korea_broad,A069500,KODEX 200
Korea broad equity,korea_broad,A102110,TIGER 200
Korea broad equity,korea_broad,A278530,KODEX 200TR
Korea broad equity,korea_broad,A310970,TIGER MSCI Korea TR
Korea broad equity,korea_broad,A148020,RISE 200
Korea broad equity,korea_broad,A278540,KODEX MSCI Korea TR
Korea broad equity,korea_broad,A294400,KIWOOM 200TR
Korea broad equity,korea_broad,A152100,PLUS 200
