ticker,market_cap
000001.SZ,0.0
000001SZ,0.0
000100.SZ,0.0
000100SZ,0.0
000157.SZ,0.0
000157SZ,0.0
0002.HK,0.0
0002HK,0.0
000301.SZ,0.0
000301SZ,0.0
000408.SZ,0.0
000408SZ,0.0
000425.SZ,0.0
000425SZ,0.0
000538.SZ,0.0
000538SZ,0.0
000568.SZ,0.0
000568SZ,0.0
000596.SZ,0.0
000596SZ,0.0
000617.SZ,0.0
000617SZ,0.0
000625.SZ,0.0
000625SZ,0.0
000630.SZ,0.0
000630SZ,0.0
000651.SZ,0.0
000651SZ,0.0
000661.SZ,0.0
000661SZ,0.0
000708.SZ,0.0
000708SZ,0.0
000725.SZ,0.0
000725SZ,0.0
000776.SZ,0.0
000776SZ,0.0
000786.SZ,0.0
000786SZ,0.0
000792.SZ,0.0
000792SZ,0.0
000807.SZ,0.0
000807SZ,0.0
000858.SZ,0.0
000858SZ,0.0
000876.SZ,0.0
000876SZ,0.0
000895.SZ,0.0
000895SZ,0.0
000938.SZ,0.0
000938SZ,0.0
000963.SZ,0.0
000963SZ,0.0
000975.SZ,0.0
000975SZ,0.0
000977.SZ,0.0
000977SZ,0.0
000983.SZ,0.0
000983SZ,0.0
000999.SZ,0.0
000999SZ,0.0
001391.SZ,0.0
001391SZ,0.0
001965.SZ,0.0
001965SZ,0.0
001979.SZ,0.0
001979SZ,0.0
002001.SZ,0.0
002001SZ,0.0
002027.SZ,0.0
002027SZ,0.0
002028.SZ,0.0
002028SZ,0.0
002049.SZ,0.0
002049SZ,0.0
002090.SZ,0.0
002090SZ,0.0
002142.SZ,0.0
002142SZ,0.0
002179.SZ,0.0
002179SZ,0.0
002230.SZ,0.0
002230SZ,0.0
002236.SZ,0.0
002236SZ,0.0
002241.SZ,0.0
002241SZ,0.0
002252.SZ,0.0
002252SZ,0.0
002304.SZ,0.0
002304SZ,0.0
002311.SZ,0.0
002311SZ,0.0
002371.SZ,0.0
002371SZ,0.0
002384.SZ,0.0
002384SZ,0.0
002415.SZ,0.0
002415SZ,0.0
002422.SZ,0.0
002422SZ,0.0
002459.SZ,0.0
002459SZ,0.0
002463.SZ,0.0
002463SZ,0.0
002475.SZ,0.0
002475SZ,0.0
002493.SZ,0.0
002493SZ,0.0
002600.SZ,0.0
002600SZ,0.0
002601.SZ,0.0
002601SZ,0.0
002625.SZ,0.0
002625SZ,0.0
002648.SZ,0.0
002648SZ,0.0
002709.SZ,0.0
002709SZ,0.0
002714.SZ,0.0
002714SZ,0.0
002736.SZ,0.0
002736SZ,0.0
002916.SZ,0.0
002916SZ,0.0
002920.SZ,0.0
002920SZ,0.0
002938.SZ,0.0
002938SZ,0.0
003816.SZ,0.0
003816SZ,0.0
0135.HK,0.0
0135HK,0.0
0136.HK,0.0
0136HK,0.0
0151.HK,0.0
0151HK,0.0
0168.HK,0.0
0168HK,0.0
0241.HK,0.0
0241HK,0.0
0268.HK,0.0
0268HK,0.0
02GMU,0.0
0300.HK,0.0
0300HK,0.0
0358.HK,0.0
0358HK,0.0
0386.HK,0.0
0386HK,0.0
0388.HK,0.0
0388HK,0.0
0390.HK,0.0
0390HK,0.0
04QA.F,0.0
04QAF,0.0
0669.HK,0.0
0669HK,0.0
0700.HK,0.0
0700HK,0.0
0728.HK,0.0
0728HK,0.0
0753.HK,0.0
0753HK,0.0
0762.HK,0.0
0762HK,0.0
0772.HK,0.0
0772HK,0.0
0823.HK,0.0
0823HK,0.0
0830.HK,0.0
0830HK,0.0
0857.HK,0.0
0857HK,0.0
0883.HK,0.0
0883HK,0.0
08HH.F,0.0
08HHF,0.0
0914.HK,0.0
0914HK,0.0
0939.HK,0.0
0939HK,0.0
0941.HK,0.0
0941HK,0.0
0966.HK,0.0
0966HK,0.0
0968.HK,0.0
0968HK,0.0
0981.HK,0.0
0981HK,0.0
0992.HK,0.0
0992HK,0.0
0A0HIL,0.0
0BOF,0.0
0ECF,0.0
0H3QIL,0.0
0H9.HA,0.0
0H9HA,0.0
0HEJL,0.0
0MGI.IL,0.0
0MGIIL,0.0
0NW2.IL,0.0
0NW2IL,0.0
0O77IL,0.0
0ON7IL,0.0
0QBOIL,0.0
0QGH.IL,0.0
0QGHIL,0.0
0QP.F,0.0
0QPF,0.0
0QZPL,0.0
0R1W.L,0.0
0R1WL,0.0
0RGT.IL,0.0
0RGTIL,0.0
0ROYIL,0.0
0RR8L,0.0
0V6.SG,0.0
0V6SG,0.0
0VD0.DU,0.0
0VD0DU,0.0
0YX.MU,0.0
0YXMU,0.0
1038.HK,0.0
1038HK,0.0
1093.HK,0.0
1093HK,0.0
1186.HK,0.0
1186HK,0.0
1209.HK,0.0
1209HK,0.0
1258.HK,0.0
1258HK,0.0
1299.HK,0.0
1299HK,0.0
1321.T,0.0
1321T,0.0
1332.T,0.0
1332T,0.0
1347.HK,0.0
1347HK,0.0
1378.HK,0.0
1378HK,0.0
1398.HK,0.0
1398HK,0.0
14T.F,0.0
14TF,0.0
1605.T,0.0
1605T,0.0
16MU,0.0
1741.F,0.0
1741F,0.0
1766.HK,0.0
1766HK,0.0
17USI,0.0
1800.HK,0.0
1800HK,0.0
1880.HK,0.0
1880HK,0.0
1883.HK,0.0
1883HK,0.0
188H.F,0.0
188HF,0.0
1908.HK,0.0
1908HK,0.0
1919.HK,0.0
1919HK,0.0
195HDU,0.0
195HF,0.0
1963.T,0.0
1963T,0.0
1988.HK,0.0
1988HK,0.0
1ACMRMI,0.0
1BAHMI,0.0
1CDWMI,0.0
1CIA.DU,0.0
1CIADU,0.0
1CIMI,0.0
1CKSG,0.0
1HENSMI,0.0
1JPF,0.0
1KLAC.MI,0.0
1KLACMI,0.0
1LEG.MI,0.0
1LEGMI,0.0
1LNB.HA,0.0
1LNBHA,0.0
1MOS.MI,0.0
1MOSMI,0.0
1RIVN.MI,0.0
1RIVNMI,0.0
1SATSMI,0.0
1VEEV.MI,0.0
1VEEVMI,0.0
1VPA.SG,0.0
1VPASG,0.0
1VRTMI,0.0
1WENMI,0.0
1ZGUMI,0.0
2002.T,0.0
2002T,0.0
2018.HK,0.0
2018HK,0.0
2202.HK,0.0
2202HK,0.0
2228.HK,0.0
2228HK,0.0
2318.HK,0.0
2318HK,0.0
2338.HK,0.0
2338HK,0.0
2382.HK,0.0
2382HK,0.0
2413.T,0.0
2413T,0.0
2423.HK,0.0
2423HK,0.0
2693.HK,0.0
