page,code,name,aum
1,A411060,ACE KRX금현물,"52,303"
1,A144600,KODEX 은선물(H),"14,590"
1,A132030,KODEX 골드선물(H),"4,821"
1,A261220,KODEX WTI원유선물(H),"1,428"
1,A261240,KODEX 미국달러선물,724
1,A292560,TIGER 일본엔선물,542
1,A271060,KODEX 3대농산물선물(H),252
1,A360750,TIGER 미국S&P500,"147,821"
1,A379800,KODEX 미국S&P500,"81,089"
1,A133690,TIGER 미국나스닥100,"79,730"
1,A379810,KODEX 미국나스닥100,"55,319"
1,A381180,TIGER 미국필라델피아반도체나스닥,"34,100"
1,A360200,ACE 미국S&P500,"33,475"
1,A367380,ACE 미국나스닥100,"27,323"
1,A379780,RISE 미국S&P500,"14,147"
1,A371160,TIGER 차이나항셍테크,"9,134"
1,A449180,KODEX 미국S&P500(H),"6,946"
1,A251350,KODEX 선진국MSCI World,"4,913"
1,A448290,TIGER 미국S&P500TR(H),"4,371"
1,A241180,TIGER 일본니케이225,"4,279"
1,A453810,KODEX 인도Nifty50,"4,103"
1,A453870,TIGER 인도니프티50,"3,951"
1,A245710,ACE 베트남VN30(합성),"3,155"
1,A448300,TIGER 미국나스닥100TR(H),"2,963"
1,A283580,KODEX 차이나CSI300,"2,825"
1,A200250,KIWOOM 인도Nifty50(합성),"2,215"
1,A414780,TIGER 차이나과창판STAR50(합성),"2,068"
1,A372330,KODEX 차이나항셍테크,"1,627"
1,A192090,TIGER 차이나CSI300,"1,575"
1,A219480,KODEX 미국S&P500선물(H),"1,437"
1,A245340,TIGER 미국다우존스30,"1,412"
1,A168580,ACE 중국본토CSI300,"1,301"
1,A488500,TIGER 미국S&P500동일가중,"1,293"
1,A304940,KODEX 미국나스닥100선물(H),"1,056"
1,A143850,TIGER 미국S&P500선물(H),982
1,A195980,PLUS 신흥국MSCI(합성 H),920
1,A101280,KODEX 일본TOPIX100,624
2,A099140,KODEX 차이나H,437
2,A245360,TIGER 차이나HSCEI,400
2,A238720,ACE 일본Nikkei225(H),359
2,A195930,TIGER 유로스탁스50(합성 H),354
2,A256440,ACE 인도네시아MSCI(합성),345
2,A280930,KODEX 미국러셀2000(H),326
2,A195970,PLUS 선진국MSCI(합성 H),244
2,A250730,RISE 차이나HSCEI(H),172
2,A291130,ACE 멕시코MSCI(합성),171
2,A195920,TIGER 일본TOPIX(합성 H),159
2,A310080,RISE 중국MSCI China(H),119
2,A105010,TIGER 라틴35,113
2,A379790,RISE 유로스탁스50(H),109
2,A411860,KIWOOM 독일DAX,104
2,A499150,SOL 미국S&P500엔화노출(H),85
2,A189400,PLUS 글로벌MSCI(합성 H),70
2,A261920,ACE 필리핀MSCI(합성),57
2,A381170,TIGER 미국테크TOP10 INDXX,"38,009"
2,A458730,TIGER 미국배당다우존스,"30,379"
2,A487230,KODEX 미국AI전력핵심인프라,"13,631"
2,A371460,TIGER 차이나전기차SOLACTIVE,"13,027"
2,A457480,ACE 테슬라밸류체인액티브,"11,487"
2,A456600,TIME 글로벌AI인공지능액티브,"10,744"
2,A465580,ACE 미국빅테크TOP7 Plus,"9,716"
2,A446770,ACE 글로벌반도체TOP4 Plus,"9,671"
2,A446720,SOL 미국배당다우존스,"9,140"
2,A497570,TIGER 미국필라델피아AI반도체나스닥,"8,188"
2,A402970,ACE 미국배당다우존스,"7,817"
