code,etf_ticker,pdf_name,aum_??,pdf_sub_asset_kr,pdf_sub_asset,pdf_asset_class
411060,411060.KS,ACE KRX금현물,52303,FX 및 원자재,fx_commodity,risk
144600,144600.KS,KODEX 은선물(H),14590,FX 및 원자재,fx_commodity,risk
132030,132030.KS,KODEX 골드선물(H),4821,FX 및 원자재,fx_commodity,risk
261220,261220.KS,KODEX WTI원유선물(H),1428,FX 및 원자재,fx_commodity,risk
261240,261240.KS,KODEX 미국달러선물,724,FX 및 원자재,fx_commodity,risk
292560,292560.KS,TIGER 일본엔선물,542,FX 및 원자재,fx_commodity,risk
271060,271060.KS,KODEX 3대농산물선물(H),252,FX 및 원자재,fx_commodity,risk
360750,360750.KS,TIGER 미국S&P500,147821,해외주식_지수,overseas_equity_index,risk
379800,379800.KS,KODEX 미국S&P500,81089,해외주식_지수,overseas_equity_index,risk
133690,133690.KS,TIGER 미국나스닥100,79730,해외주식_지수,overseas_equity_index,risk
379810,379810.KS,KODEX 미국나스닥100,55319,해외주식_지수,overseas_equity_index,risk
381180,381180.KS,TIGER 미국필라델피아반도체나스닥,34100,해외주식_지수,overseas_equity_index,risk
360200,360200.KS,ACE 미국S&P500,33475,해외주식_지수,overseas_equity_index,risk
367380,367380.KS,ACE 미국나스닥100,27323,해외주식_지수,overseas_equity_index,risk
379780,379780.KS,RISE 미국S&P500,14147,해외주식_지수,overseas_equity_index,risk
371160,371160.KS,TIGER 차이나항셍테크,9134,해외주식_지수,overseas_equity_index,risk
449180,449180.KS,KODEX 미국S&P500(H),6946,해외주식_지수,overseas_equity_index,risk
251350,251350.KS,KODEX 선진국MSCI World,4913,해외주식_지수,overseas_equity_index,risk
448290,448290.KS,TIGER 미국S&P500TR(H),4371,해외주식_지수,overseas_equity_index,risk
241180,241180.KS,TIGER 일본니케이225,4279,해외주식_지수,overseas_equity_index,risk
453810,453810.KS,KODEX 인도Nifty50,4103,해외주식_지수,overseas_equity_index,risk
453870,453870.KS,TIGER 인도니프티50,3951,해외주식_지수,overseas_equity_index,risk
245710,245710.KS,ACE 베트남VN30(합성),3155,해외주식_지수,overseas_equity_index,risk
448300,448300.KS,TIGER 미국나스닥100TR(H),2963,해외주식_지수,overseas_equity_index,risk
283580,283580.KS,KODEX 차이나CSI300,2825,해외주식_지수,overseas_equity_index,risk
200250,200250.KS,KIWOOM 인도Nifty50(합성),2215,해외주식_지수,overseas_equity_index,risk
414780,414780.KS,TIGER 차이나과창판STAR50(합성),2068,해외주식_지수,overseas_equity_index,risk
372330,372330.KS,KODEX 차이나항셍테크,1627,해외주식_지수,overseas_equity_index,risk
192090,192090.KS,TIGER 차이나CSI300,1575,해외주식_지수,overseas_equity_index,risk
